SID,NAME,ISO_TIME,LAT,LON,WMO_WIND,USA_WIND,WMO_PRES,USA_PRES,STORM_SPEED,STORM_DIR,NATURE,BASIN
1842298N11080,NOT_NAMED,1842-10-27 21:00:00,11.5579,68.9253,,,,,10.0,279.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 00:00:00,11.6356,68.4252,,,,,9.0,279.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 03:00:00,11.7,68.0,,,,,7.0,278.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 06:00:00,11.7348,67.6958,,,,,5.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 09:00:00,11.7569,67.4673,,,,,4.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 12:00:00,11.7756,67.2802,,,,,4.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 15:00:00,11.8,67.1,,,,,4.0,280.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 18:00:00,11.8469,66.8669,,,,,5.0,282.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-28 21:00:00,11.9,66.6351,,,,,5.0,283.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 00:00:00,11.9531,66.4107,,,,,4.0,283.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 03:00:00,12.0,66.2,,,,,4.0,282.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 06:00:00,12.0321,66.0146,,,,,4.0,279.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 09:00:00,12.0574,65.8424,,,,,3.0,278.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 12:00:00,12.079,65.674,,,,,3.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 15:00:00,12.1,65.5,,,,,4.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 18:00:00,12.125,65.3072,,,,,4.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-29 21:00:00,12.15,65.1075,,,,,4.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 00:00:00,12.175,64.9041,,,,,4.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 03:00:00,12.2,64.7,,,,,4.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 06:00:00,12.2168,64.504,,,,,4.0,275.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 09:00:00,12.2349,64.3074,,,,,4.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 12:00:00,12.2606,64.1071,,,,,4.0,279.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 15:00:00,12.3,63.9,,,,,4.0,284.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 18:00:00,12.3606,63.6822,,,,,5.0,287.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-30 21:00:00,12.435,63.4575,,,,,5.0,289.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 00:00:00,12.5168,63.2291,,,,,5.0,290.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 03:00:00,12.6,63.0,,,,,5.0,290.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 06:00:00,12.6831,62.771,,,,,5.0,290.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 09:00:00,12.765,62.5425,,,,,5.0,289.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 12:00:00,12.8393,62.3178,,,,,5.0,287.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 15:00:00,12.9,62.1,,,,,4.0,283.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 18:00:00,12.9312,61.8967,,,,,4.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-10-31 21:00:00,12.9499,61.6998,,,,,4.0,276.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 00:00:00,12.9687,61.503,,,,,4.0,277.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 03:00:00,13.0,61.3,,,,,4.0,282.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 06:00:00,13.0606,61.0741,,,,,5.0,287.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 09:00:00,13.135,60.8426,,,,,5.0,289.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 12:00:00,13.2169,60.6147,,,,,5.0,291.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 15:00:00,13.3,60.4,,,,,4.0,292.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 18:00:00,13.3794,60.2053,,,,,4.0,293.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-01 21:00:00,13.455,60.0275,,,,,4.0,294.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-02 00:00:00,13.5282,59.861,,,,,4.0,295.0,NR,NI
1842298N11080,NOT_NAMED,1842-11-02 03:00:00,13.6,59.7,,,,,3.0,295.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-02 03:00:00,10.0,74.3,,,,,3.0,283.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-02 06:00:00,10.0329,74.1547,,,,,3.0,284.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-02 09:00:00,10.0725,74.0075,,,,,3.0,288.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-02 12:00:00,10.126,73.8566,,,,,3.0,293.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-02 15:00:00,10.2,73.7,,,,,4.0,299.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-02 18:00:00,10.2993,73.5362,,,,,4.0,304.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-02 21:00:00,10.42,73.365,,,,,4.0,307.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 00:00:00,10.5556,73.1862,,,,,5.0,308.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 03:00:00,10.7,73.0,,,,,5.0,306.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 06:00:00,10.8429,72.791,,,,,5.0,305.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 09:00:00,10.9926,72.5776,,,,,5.0,307.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 12:00:00,11.146,72.3754,,,,,5.0,310.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 15:00:00,11.3,72.2,,,,,4.0,314.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 18:00:00,11.4459,72.063,,,,,4.0,320.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-03 21:00:00,11.5924,71.9549,,,,,4.0,328.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 00:00:00,11.7428,71.8693,,,,,3.0,334.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 03:00:00,11.9,71.8,,,,,4.0,338.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 06:00:00,12.0678,71.7315,,,,,4.0,341.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 09:00:00,12.2425,71.6775,,,,,4.0,344.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 12:00:00,12.4209,71.6347,,,,,4.0,347.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 15:00:00,12.6,71.6,,,,,4.0,351.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 18:00:00,12.7772,71.5706,,,,,4.0,352.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-04 21:00:00,12.9525,71.545,,,,,4.0,353.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-05 00:00:00,13.1266,71.5219,,,,,4.0,354.0,NR,NI
1845336N10074,NOT_NAMED,1845-12-05 03:00:00,13.3,71.5,,,,,4.0,0.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-30 03:00:00,13.7,72.2,,,,,7.0,345.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-30 06:00:00,14.05,72.0969,,,,,7.0,343.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-30 09:00:00,14.3999,71.9849,,,,,7.0,342.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-30 12:00:00,14.7499,71.8555,,,,,8.0,339.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-30 15:00:00,15.1,71.7,,,,,8.0,335.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-30 18:00:00,15.4485,71.5153,,,,,8.0,332.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-30 21:00:00,15.7876,71.3204,,,,,8.0,331.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 00:00:00,16.1079,71.1403,,,,,7.0,333.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 03:00:00,16.4,71.0,,,,,6.0,340.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 06:00:00,16.6658,70.9315,,,,,5.0,350.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 09:00:00,16.9024,70.9046,,,,,5.0,354.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 12:00:00,17.1127,70.9004,,,,,4.0,0.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 15:00:00,17.3,70.9,,,,,4.0,349.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 18:00:00,17.4552,70.8266,,,,,3.0,335.0,NR,NI
1854303N14072,NOT_NAMED,1854-10-31 21:00:00,17.5923,70.7606,,,,,3.0,345.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 00:00:00,17.7332,70.7393,,,,,3.0,5.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 03:00:00,17.9,70.8,,,,,5.0,30.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 06:00:00,18.1376,70.9801,,,,,7.0,40.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 09:00:00,18.4002,71.2443,,,,,8.0,46.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 12:00:00,18.6626,71.5614,,,,,8.0,51.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 15:00:00,18.9,71.9,,,,,8.0,56.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 18:00:00,19.0938,72.234,,,,,7.0,61.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-01 21:00:00,19.2502,72.5602,,,,,7.0,65.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-02 00:00:00,19.3815,72.8813,,,,,7.0,68.0,NR,NI
1854303N14072,NOT_NAMED,1854-11-02 03:00:00,19.5,73.2,,,,,6.0,69.0,NR,NI
1877135N10083,NOT_NAMED,1877-05-15 00:00:00,9.9,82.9,,,,,2.0,311.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-15 03:00:00,9.95834,82.8333,,,,,2.0,317.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-15 06:00:00,10.0744,82.7357,,,,,3.0,323.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-15 09:00:00,10.2147,82.6354,,,,,3.0,325.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-15 12:00:00,10.3452,82.5424,,,,,3.0,322.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-15 15:00:00,10.4538,82.4462,,,,,3.0,320.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-15 18:00:00,10.5475,82.365,,,,,2.0,324.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-15 21:00:00,10.6387,82.3112,,,,,2.0,328.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 00:00:00,10.7412,82.2462,,,,,3.0,323.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 03:00:00,10.8675,82.1325,,,,,4.0,317.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 06:00:00,11.0267,81.9797,,,,,5.0,318.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 09:00:00,11.2138,81.8213,,,,,5.0,321.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 12:00:00,11.4064,81.6704,,,,,5.0,323.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 15:00:00,11.575,81.5425,,,,,4.0,327.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 18:00:00,11.7314,81.4557,,,,,4.0,337.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-16 21:00:00,11.9062,81.3961,,,,,4.0,343.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 00:00:00,12.1017,81.3385,,,,,4.0,342.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 03:00:00,12.3212,81.2575,,,,,5.0,337.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 06:00:00,12.5622,81.1407,,,,,6.0,333.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 09:00:00,12.81,81.0001,,,,,6.0,331.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 12:00:00,13.0653,80.8594,,,,,6.0,334.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 15:00:00,13.3212,80.7425,,,,,6.0,338.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 18:00:00,13.5778,80.6472,,,,,6.0,343.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-17 21:00:00,13.8525,80.57,,,,,6.0,348.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 00:00:00,14.1497,80.5191,,,,,6.0,352.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 03:00:00,14.4712,80.4925,,,,,7.0,356.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 06:00:00,14.8162,80.486,,,,,7.0,2.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 09:00:00,15.1674,80.5051,,,,,7.0,6.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 12:00:00,15.5225,80.5579,,,,,7.0,10.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 15:00:00,15.8787,80.635,,,,,7.0,15.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 18:00:00,16.2119,80.7419,,,,,7.0,22.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-18 21:00:00,16.5171,80.9069,,,,,7.0,33.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 00:00:00,16.8321,81.1576,,,,,9.0,40.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 03:00:00,17.1963,81.5062,,,,,11.0,45.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 06:00:00,17.5806,81.9482,,,,,12.0,50.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 09:00:00,17.9466,82.4373,,,,,12.0,53.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 12:00:00,18.3087,82.9452,,,,,12.0,53.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 15:00:00,18.6712,83.4326,,,,,11.0,50.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 18:00:00,19.0353,83.8741,,,,,11.0,48.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-19 21:00:00,19.4172,84.2943,,,,,11.0,45.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 00:00:00,19.8088,84.6991,,,,,11.0,44.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 03:00:00,20.2,85.1038,,,,,11.0,44.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 06:00:00,20.5903,85.507,,,,,11.0,43.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 09:00:00,20.9812,85.8878,,,,,11.0,41.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 12:00:00,21.3872,86.2383,,,,,11.0,37.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 15:00:00,21.8175,86.565,,,,,11.0,32.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 18:00:00,22.2989,86.8502,,,,,11.0,25.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-20 21:00:00,22.8236,87.0711,,,,,11.0,19.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 00:00:00,23.2959,87.2283,,,,,8.0,17.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 03:00:00,23.6225,87.3363,,,,,6.0,16.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 06:00:00,23.8374,87.3938,,,,,4.0,10.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 09:00:00,24.0336,87.4131,,,,,4.0,2.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 12:00:00,24.2187,87.4077,,,,,4.0,358.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 15:00:00,24.425,87.4,,,,,4.0,0.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 18:00:00,24.6242,87.3948,,,,,4.0,0.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-21 21:00:00,24.8326,87.3937,,,,,4.0,4.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-22 00:00:00,25.0344,87.3956,,,,,4.0,0.0,TS,NI
1877135N10083,NOT_NAMED,1877-05-22 03:00:00,25.2,87.4,,,,,3.0,9.0,NR,NI
1877192N21090,NOT_NAMED,1877-07-11 00:00:00,20.8,89.7,,,,,2.0,270.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-11 03:00:00,20.8,89.6,,,,,2.0,270.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-11 06:00:00,20.7995,89.4507,,,,,3.0,270.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-11 09:00:00,20.7992,89.2983,,,,,3.0,270.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-11 12:00:00,20.7991,89.1587,,,,,3.0,269.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-11 15:00:00,20.7962,89.025,,,,,2.0,271.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-11 18:00:00,20.8025,88.9053,,,,,2.0,279.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-11 21:00:00,20.8268,88.8109,,,,,3.0,286.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 00:00:00,20.8742,88.6287,,,,,5.0,283.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 03:00:00,20.9464,88.2513,,,,,8.0,281.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 06:00:00,21.0396,87.7395,,,,,10.0,281.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 09:00:00,21.1392,87.2239,,,,,10.0,282.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 12:00:00,21.2442,86.6895,,,,,10.0,282.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 15:00:00,21.3499,86.15,,,,,10.0,282.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 18:00:00,21.4457,85.6422,,,,,10.0,281.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-12 21:00:00,21.5385,85.1347,,,,,10.0,282.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 00:00:00,21.6426,84.6406,,,,,9.0,285.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 03:00:00,21.7712,84.1712,,,,,9.0,288.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 06:00:00,21.9196,83.7178,,,,,9.0,290.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 09:00:00,22.0708,83.2674,,,,,9.0,290.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 12:00:00,22.2243,82.8209,,,,,9.0,290.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 15:00:00,22.3787,82.375,,,,,9.0,290.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 18:00:00,22.5154,81.947,,,,,8.0,288.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-13 21:00:00,22.6274,81.5343,,,,,8.0,285.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-14 00:00:00,22.7386,81.0641,,,,,10.0,284.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-14 03:00:00,22.875,80.4726,,,,,12.0,283.0,TS,NI
1877192N21090,NOT_NAMED,1877-07-14 06:00:00,23.0168,79.7791,,,,,13.0,281.0,TS,NI
