image_id,storm_id,image_path,relative_path,wind_speed_kt,min_pressure_mb,time_step
storm_sample_016,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_016.npy,images/storm_sample_016.npy,38.0,999.4,6
storm_sample_017,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_017.npy,images/storm_sample_017.npy,51.0,990.3,7
storm_sample_018,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_018.npy,images/storm_sample_018.npy,64.0,981.2,8
storm_sample_019,SYN_01,ml/cyclone/data/drivendata/images/storm_sample_019.npy,images/storm_sample_019.npy,77.0,972.1,9
storm_sample_020,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_020.npy,images/storm_sample_020.npy,90.0,963.0,0
storm_sample_021,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_021.npy,images/storm_sample_021.npy,103.0,953.9,1
storm_sample_022,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_022.npy,images/storm_sample_022.npy,116.0,944.8,2
storm_sample_023,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_023.npy,images/storm_sample_023.npy,129.0,935.7,3
storm_sample_024,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_024.npy,images/storm_sample_024.npy,42.0,996.6,4
storm_sample_025,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_025.npy,images/storm_sample_025.npy,55.0,987.5,5
storm_sample_026,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_026.npy,images/storm_sample_026.npy,68.0,978.4,6
storm_sample_027,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_027.npy,images/storm_sample_027.npy,81.0,969.3,7
storm_sample_028,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_028.npy,images/storm_sample_028.npy,94.0,960.2,8
storm_sample_029,SYN_02,ml/cyclone/data/drivendata/images/storm_sample_029.npy,images/storm_sample_029.npy,107.0,951.1,9
storm_sample_030,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_030.npy,images/storm_sample_030.npy,120.0,942.0,0
storm_sample_031,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_031.npy,images/storm_sample_031.npy,133.0,932.9,1
storm_sample_032,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_032.npy,images/storm_sample_032.npy,46.0,993.8,2
storm_sample_033,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_033.npy,images/storm_sample_033.npy,59.0,984.7,3
storm_sample_034,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_034.npy,images/storm_sample_034.npy,72.0,975.6,4
storm_sample_035,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_035.npy,images/storm_sample_035.npy,85.0,966.5,5
storm_sample_036,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_036.npy,images/storm_sample_036.npy,98.0,957.4,6
storm_sample_037,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_037.npy,images/storm_sample_037.npy,111.0,948.3,7
storm_sample_038,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_038.npy,images/storm_sample_038.npy,124.0,939.2,8
storm_sample_039,SYN_03,ml/cyclone/data/drivendata/images/storm_sample_039.npy,images/storm_sample_039.npy,137.0,930.1,9
storm_sample_040,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_040.npy,images/storm_sample_040.npy,50.0,991.0,0
storm_sample_041,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_041.npy,images/storm_sample_041.npy,63.0,981.9,1
storm_sample_042,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_042.npy,images/storm_sample_042.npy,76.0,972.8,2
storm_sample_043,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_043.npy,images/storm_sample_043.npy,89.0,963.7,3
storm_sample_044,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_044.npy,images/storm_sample_044.npy,102.0,954.6,4
storm_sample_045,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_045.npy,images/storm_sample_045.npy,115.0,945.5,5
storm_sample_046,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_046.npy,images/storm_sample_046.npy,128.0,936.4,6
storm_sample_047,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_047.npy,images/storm_sample_047.npy,141.0,927.3,7
storm_sample_048,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_048.npy,images/storm_sample_048.npy,54.0,988.2,8
storm_sample_049,SYN_04,ml/cyclone/data/drivendata/images/storm_sample_049.npy,images/storm_sample_049.npy,67.0,979.1,9
