image_id,storm_id,image_path,relative_path,lat,lon,wind_speed_kt,min_pressure_mb,grade,timestamp
dt_sample_0015,DT_2020_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0015.npy,images/dt_sample_0015.npy,15.75,87.25,81.0,971.6,5,2020-05-17T21:00:00Z
dt_sample_0016,DT_2020_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0016.npy,images/dt_sample_0016.npy,16.0,87.4,91.4,964.8,5,2020-05-17T00:00:00Z
dt_sample_0017,DT_2020_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0017.npy,images/dt_sample_0017.npy,16.25,87.55,101.8,958.1,5,2020-05-17T03:00:00Z
dt_sample_0018,DT_2020_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0018.npy,images/dt_sample_0018.npy,16.5,87.7,112.2,951.3,5,2020-05-17T06:00:00Z
dt_sample_0019,DT_2020_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0019.npy,images/dt_sample_0019.npy,16.75,87.85,122.6,944.6,5,2020-05-17T09:00:00Z
dt_sample_0020,DT_2020_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0020.npy,images/dt_sample_0020.npy,17.0,88.0,33.0,1002.8,3,2020-05-18T12:00:00Z
dt_sample_0021,DT_2020_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0021.npy,images/dt_sample_0021.npy,17.25,88.15,43.4,996.0,4,2020-05-18T15:00:00Z
dt_sample_0022,DT_2020_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0022.npy,images/dt_sample_0022.npy,17.5,88.3,53.8,989.3,4,2020-05-18T18:00:00Z
dt_sample_0023,DT_2020_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0023.npy,images/dt_sample_0023.npy,17.75,88.45,64.2,982.5,5,2020-05-18T21:00:00Z
dt_sample_0024,DT_2020_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0024.npy,images/dt_sample_0024.npy,18.0,88.6,74.6,975.8,5,2020-05-18T00:00:00Z
dt_sample_0025,DT_2021_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0025.npy,images/dt_sample_0025.npy,18.25,88.75,85.0,969.0,5,2020-05-18T03:00:00Z
dt_sample_0026,DT_2021_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0026.npy,images/dt_sample_0026.npy,18.5,88.9,95.4,962.2,5,2020-05-18T06:00:00Z
dt_sample_0027,DT_2021_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0027.npy,images/dt_sample_0027.npy,18.75,89.05,105.8,955.5,5,2020-05-18T09:00:00Z
dt_sample_0028,DT_2021_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0028.npy,images/dt_sample_0028.npy,19.0,89.2,116.2,948.7,5,2020-05-18T12:00:00Z
dt_sample_0029,DT_2021_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0029.npy,images/dt_sample_0029.npy,19.25,89.35,126.6,942.0,5,2020-05-18T15:00:00Z
dt_sample_0030,DT_2021_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0030.npy,images/dt_sample_0030.npy,19.5,89.5,37.0,1000.2,4,2020-05-19T18:00:00Z
dt_sample_0031,DT_2021_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0031.npy,images/dt_sample_0031.npy,19.75,89.65,47.4,993.4,4,2020-05-19T21:00:00Z
dt_sample_0032,DT_2021_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0032.npy,images/dt_sample_0032.npy,20.0,89.8,57.8,986.7,4,2020-05-19T00:00:00Z
dt_sample_0033,DT_2021_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0033.npy,images/dt_sample_0033.npy,20.25,89.95,68.2,979.9,5,2020-05-19T03:00:00Z
dt_sample_0034,DT_2021_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0034.npy,images/dt_sample_0034.npy,20.5,90.1,78.6,973.2,5,2020-05-19T06:00:00Z
dt_sample_0035,DT_2021_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0035.npy,images/dt_sample_0035.npy,20.75,90.25,89.0,966.4,5,2020-05-19T09:00:00Z
dt_sample_0036,DT_2021_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0036.npy,images/dt_sample_0036.npy,21.0,90.4,99.4,959.6,5,2020-05-19T12:00:00Z
dt_sample_0037,DT_2021_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0037.npy,images/dt_sample_0037.npy,21.25,90.55,109.8,952.9,5,2020-05-19T15:00:00Z
dt_sample_0038,DT_2021_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0038.npy,images/dt_sample_0038.npy,21.5,90.7,120.2,946.1,5,2020-05-19T18:00:00Z
dt_sample_0039,DT_2021_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0039.npy,images/dt_sample_0039.npy,21.75,90.85,130.6,939.4,5,2020-05-19T21:00:00Z
dt_sample_0040,DT_2021_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0040.npy,images/dt_sample_0040.npy,22.0,91.0,41.0,997.6,4,2020-05-20T00:00:00Z
dt_sample_0041,DT_2021_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0041.npy,images/dt_sample_0041.npy,22.25,91.15,51.4,990.8,4,2020-05-20T03:00:00Z
dt_sample_0042,DT_2021_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0042.npy,images/dt_sample_0042.npy,22.5,91.3,61.8,984.1,4,2020-05-20T06:00:00Z
dt_sample_0043,DT_2021_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0043.npy,images/dt_sample_0043.npy,22.75,91.45,72.2,977.3,5,2020-05-20T09:00:00Z
dt_sample_0044,DT_2021_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0044.npy,images/dt_sample_0044.npy,23.0,91.6,82.6,970.6,5,2020-05-20T12:00:00Z
dt_sample_0045,DT_2021_00,ml/cyclone/data/digital_typhoon/images/dt_sample_0045.npy,images/dt_sample_0045.npy,23.25,91.75,93.0,963.8,5,2020-05-20T15:00:00Z
dt_sample_0046,DT_2021_01,ml/cyclone/data/digital_typhoon/images/dt_sample_0046.npy,images/dt_sample_0046.npy,23.5,91.9,103.4,957.0,5,2020-05-20T18:00:00Z
dt_sample_0047,DT_2021_02,ml/cyclone/data/digital_typhoon/images/dt_sample_0047.npy,images/dt_sample_0047.npy,23.75,92.05,113.8,950.3,5,2020-05-20T21:00:00Z
dt_sample_0048,DT_2021_03,ml/cyclone/data/digital_typhoon/images/dt_sample_0048.npy,images/dt_sample_0048.npy,24.0,92.2,124.2,943.5,5,2020-05-20T00:00:00Z
dt_sample_0049,DT_2021_04,ml/cyclone/data/digital_typhoon/images/dt_sample_0049.npy,images/dt_sample_0049.npy,24.25,92.35,134.6,936.8,5,2020-05-20T03:00:00Z
